,Name,Risk,Category,Rating,1 Year Return,3 Years Return,5 Years Return
524,ICICI Prudential Credit Risk Fund Direct Plan Growth,High Risk,Debt,4,5.36%,7.67%,8.10%
525,Nippon IndiaRetirement Fund Income Generation Scheme Direct Growth,Moderately High Risk,Solution Oriented,2,3.54%,7.67%,7.26%
526,Franklin India Debt Hybrid Fund Direct Growth,Moderately High Risk,Hybrid,3,5.68%,7.59%,7.07%
527,HDFC Credit Risk Debt Fund Direct Growth,Moderately High Risk,Debt,4,4.17%,7.58%,7.57%
528,Tata Medium Term Fund Direct Growth,Moderate Risk,Debt,4,3.59%,7.51%,3.35%
529,ICICI Prudential Gilt Fund Direct Plan Growth,Low to Moderate Risk,Debt,5,3.12%,7.47%,7.80%
530,Motilal Oswal Dynamic Fund Direct Growth,Very High Risk,Hybrid,1,2.18%,7.46%,7.14%
531,LIC MF Debt Hybrid Fund Direct Growth,Moderately High Risk,Hybrid,3,3.41%,7.44%,6.92%
532,ICICI Prudential Medium Term Bond Fund Direct Plan Growth,Moderate Risk,Debt,5,4.59%,7.41%,7.49%
533,UTI Banking & PSU Debt Fund Direct Growth,Moderate Risk,Debt,,10.43%,7.37%,5.52%
534,Franklin India Life Stage FoF The 40s Plan Direct Growth,Moderately High Risk,Other,1,5.74%,7.34%,6.45%
535,Edelweiss Government Securities Fund Direct Growth,Moderate Risk,Debt,4,3.32%,7.31%,8.14%
536,Aditya Birla Sun Life Dynamic Bond Retail Fund Direct Growth,Moderate Risk,Debt,4,6.46%,7.29%,5.39%
537,BNP Paribas Short Term Fund Direct Growth,Moderate Risk,Debt,3,5.32%,7.29%,7.32%
538,Aditya Birla Sun Life MNC Direct Fund Growth,Very High Risk,Equity,,-1.06%,7.26%,6.22%
539,Axis Strategic Bond Fund Direct Growth,Moderate Risk,Debt,4,4.47%,7.23%,7.33%
540,UTI Bond Fund Direct Growth,Moderate Risk,Debt,5,10.03%,7.20%,3.94%
541,SBI Magnum Income Direct Plan Growth,Moderately High Risk,Debt,4,3.59%,7.19%,7.51%
542,ICICI Prudential Short Term Fund Direct Plan Growth,Moderate Risk,Debt,4,5.16%,7.15%,7.63%
543,Tata Dynamic Bond Direct Growth,Moderately High Risk,Debt,4,5.67%,7.13%,6.60%
544,SBI Magnum Medium Duration Fund Direct Growth,Moderate Risk,Debt,4,3.75%,7.08%,7.81%
545,Axis Credit Risk Fund Direct Growth,Moderately High Risk,Debt,4,4.76%,7.07%,6.74%
546,SBI Magnum Gilt Fund Direct Growth,Low to Moderate Risk,Debt,5,4.89%,7.00%,7.68%
547,Kotak Gilt Investment PF & Trust Direct Growth,Low to Moderate Risk,Debt,4,3.04%,7.00%,7.73%
548,IDFC Asset Allocation Conservative Direct Growth,Moderately High Risk,Other,3,3.26%,6.99%,6.75%
549,UTI Treasury Advantage Fund Direct Growth,Low to Moderate Risk,Debt,5,4.39%,6.93%,4.74%
550,SBI Credit Risk Fund Direct Growth,Moderately High Risk,Debt,3,4.64%,6.93%,6.92%
551,Axis Corporate Debt Fund Direct Growth,Low to Moderate Risk,Debt,5,4.23%,6.90%,7.30%
552,HDFC Dynamic Debt Fund Direct Plan Growth,Moderate Risk,Debt,5,2.48%,6.86%,5.65%
553,DSP Government Securities Direct Plan Growth,Low to Moderate Risk,Debt,5,3.13%,6.84%,8.02%
554,Edelweiss Banking and PSU Debt Fund Direct Growth,Moderate Risk,Debt,1,2.57%,6.84%,7.92%
555,Aditya Birla Sun Life Short Term Direct Fund Growth,Moderate Risk,Debt,4,4.72%,6.82%,7.41%
556,ICICI Prudential Retirement Fund Pure Debt Plan Direct Growth,Moderately High Risk,Solution Oriented,3,3.36%,6.81%,NA%
557,Navi Regular Savings Fund Direct Growth,Moderately High Risk,Hybrid,3,5.05%,6.72%,6.71%
558,Aditya Birla Sun Life Corporate Bond Fund Direct Growth,Low to Moderate Risk,Debt,4,3.94%,6.71%,7.34%
559,L&T Conservative Hybrid Fund Direct Growth,Moderate Risk,Hybrid,2,1.33%,6.70%,6.52%
560,HDFC Medium Term Debt Fund Direct Plan Growth,Moderately High Risk,Debt,3,3.39%,6.69%,7.24%
561,Aditya Birla Sun Life Income Fund Direct Growth,Moderate Risk,Debt,4,2.69%,6.68%,7.14%
562,Kotak Floating Rate Fund Direct Growth,Low to Moderate Risk,Debt,2,3.68%,6.67%,NA%
563,Kotak Bond Fund Direct Growth,Low to Moderate Risk,Debt,3,2.56%,6.63%,7.17%
564,ICICI Prudential Corporate Bond Fund Direct Plan Growth,Low to Moderate Risk,Debt,4,4.36%,6.62%,7.27%
565,Edelweiss Greater China Equity Off shore Fund Direct Growth,Very High Risk,Other,,-25.46%,6.61%,7.12%
566,Nippon India Corporate Bond Fund Direct Growth,Moderate Risk,Debt,5,4.54%,6.61%,6.97%
567,DSP World Gold Fund Direct Plan Growth,Very High Risk,Other,,-4.25%,6.60%,7.02%
568,ICICI Prudential Floating Interest Fund Direct Plan Growth,Low to Moderate Risk,Debt,2,4.51%,6.59%,7.23%
569,Nippon India Ultra Short Duration Fund Direct Growth,Moderate Risk,Debt,5,5.26%,6.59%,5.90%
570,Nippon India Floating Rate Fund Direct Growth,Low to Moderate Risk,Debt,3,3.85%,6.57%,6.97%
571,Axis Gilt Fund Direct Plan Growth,Low to Moderate Risk,Debt,4,2.72%,6.56%,7.29%
572,HSBC Medium Duration Fund Direct Growth,Moderate Risk,Debt,3,3.17%,6.53%,6.51%
573,HSBC Medium Duration Fund Direct Growth,Moderate Risk,Debt,3,3.31%,6.53%,6.54%
574,IDBI Dynamic Bond Fund Direct Growth,Moderate Risk,Debt,3,2.06%,6.48%,5.70%
575,HDFC Short Term Debt Fund Direct Plan Growth,Moderate Risk,Debt,3,3.72%,6.48%,7.24%
576,Axis Dynamic Bond Direct Fund Growth,Moderate Risk,Debt,2,2.20%,6.48%,7.56%
577,Kotak Dynamic Bond Fund Direct Growth,Moderate Risk,Debt,4,3.10%,6.47%,7.74%
578,HDFC Corporate Bond Fund Direct Plan Growth,Moderate Risk,Debt,3,3.24%,6.45%,7.20%
579,IDFC Government Securities Investment Plan Direct Growth,Moderate Risk,Debt,3,1.87%,6.43%,7.85%
580,Nippon India Short Term Fund Direct Growth,Moderate Risk,Debt,4,3.86%,6.43%,7.05%
581,SBI Dynamic Bond Direct Plan Growth,Low to Moderate Risk,Debt,4,5.09%,6.42%,7.42%
582,ICICI Prudential Banking & PSU Debt Direct Growth,Low to Moderate Risk,Debt,5,4.26%,6.42%,7.02%
583,Axis Short Term Direct Fund Growth,Low to Moderate Risk,Debt,4,4.22%,6.41%,7.28%
584,HSBC Corporate Bond Direct Growth,Moderate Risk,Debt,1,2.27%,6.39%,7.47%
585,ICICI Prudential Bond Fund Direct Plan Growth,Moderate Risk,Debt,4,3.37%,6.34%,7.07%
586,Kotak Medium Term Fund Direct Growth,Moderately High Risk,Debt,4,3.93%,6.33%,6.63%
587,Nippon India Nivesh Lakshya Fund Direct Growth,Moderate Risk,Debt,,2.56%,6.33%,NA%
588,Kotak Banking and PSU Debt Fund Direct Growth,Moderate Risk,Debt,3,3.95%,6.32%,7.40%
589,HSBC Corporate Bond Direct Growth,Moderate Risk,Debt,1,2.14%,6.32%,7.51%
590,Aditya Birla Sun Life Government Securities Fund Direct Plan Growth,Low to Moderate Risk,Debt,4,2.23%,6.29%,7.28%
591,Nippon India Banking & PSU Debt Fund Direct Growth,Moderate Risk,Debt,3,3.38%,6.26%,7.26%
592,Aditya Birla Sun Life Banking & PSU Debt Fund Direct Growth,Moderate Risk,Debt,4,3.76%,6.23%,7.13%
593,ICICI Prudential Debt Management Fund (FOF) Direct Plan Growth,Moderate Risk,Other,4,4.01%,6.22%,6.92%
594,PGIM India Corporate Bond Direct Plan Growth,Low to Moderate Risk,Debt,4,3.62%,6.20%,6.72%
595,Kotak Bond Short Term Fund Direct Growth,Low to Moderate Risk,Debt,3,3.70%,6.19%,7.19%
596,IIFL Dynamic Bond Fund Direct Growth,Moderate Risk,Debt,4,3.61%,6.18%,6.51%
597,IDFC Corporate Bond Fund Direct Growth,Low to Moderate Risk,Debt,3,2.55%,6.17%,6.69%
598,HDFC Banking and PSU Debt Fund Direct Growth,Low to Moderate Risk,Debt,4,3.42%,6.16%,7.00%
599,HDFC Floating Rate Debt Fund Direct Plan Growth,Low to Moderate Risk,Debt,4,4.49%,6.16%,6.86%
600,Nippon India Income Fund Direct Growth,Moderate Risk,Debt,3,4.04%,6.13%,7.25%
601,Nippon India Gilt Securities Fund Direct Growth,Moderate Risk,Debt,3,2.73%,6.12%,7.80%
602,IDFC Dynamic Bond Fund Direct Growth,Moderate Risk,Debt,2,1.80%,6.12%,7.18%
603,Nippon India Gilt Securities Fund Direct Defined Maturity Date Growth,Moderate Risk,Debt,3,2.73%,6.12%,7.80%
604,DSP Credit Risk Direct Plan Growth,Moderate Risk,Debt,3,8.81%,6.10%,4.73%
605,ICICI Prudential Constant Maturity Gilt Fund Direct Growth,Moderate Risk,Debt,,0.93%,6.10%,7.92%
606,Tata Income Fund Direct Growth,Moderate Risk,Debt,3,2.35%,6.09%,6.03%
607,UTI Corporate Bond Fund Direct Growth,Low to Moderate Risk,Debt,3,3.52%,6.08%,NA%
608,Sundaram Short Term Debt Fund Direct Plan Growth,Low to Moderate Risk,Debt,2,13.68%,6.07%,6.42%
609,IDFC Banking & PSU Debt Fund Direct Growth,Low to Moderate Risk,Debt,5,3.60%,6.07%,7.45%
610,Sundaram Corporate Bond Fund Direct Growth,Low to Moderate Risk,Debt,4,3.48%,6.02%,6.87%
611,DSP Strategic Bond Direct Plan Growth,Low to Moderate Risk,Debt,3,1.77%,6.01%,6.86%
612,JM Money Market Fund Direct Plan Growth,Moderately Low Risk,Debt,1,4.21%,6.00%,6.64%
613,Quantum Dynamic Bond Fund Direct Growth,Moderate Risk,Debt,3,4.27%,6.00%,6.38%
614,IDFC Regular Savings Fund Direct Plan Growth,Moderate Risk,Hybrid,2,1.84%,5.98%,6.00%
615,Kotak Corporate Bond Fund Direct Growth,Low to Moderate Risk,Debt,3,3.82%,5.97%,7.10%
616,HSBC Gilt Fund Direct Growth,Moderate Risk,Debt,3,2.96%,5.97%,6.77%
617,Tata Banking & PSU Debt Fund Direct Growth,Low to Moderate Risk,Debt,3,3.09%,5.95%,NA%
618,Aditya Birla Sun Life Low Duration Fund Direct Growth,Moderate Risk,Debt,4,4.90%,5.94%,6.97%
619,HSBC Managed Solutions India Conservative Fund Direct Growth,Moderate Risk,Other,2,2.97%,5.92%,5.84%
620,PGIM India Banking & PSU Debt Fund Direct Growth,Low to Moderate Risk,Debt,4,3.35%,5.91%,6.99%
621,Principal Large Cap Fund Direct Growth,Very High Risk,Equity,4,29.59%,5.90%,8.85%
622,HDFC Low Duration Fund Direct Plan Growth,Moderate Risk,Debt,4,4.47%,5.88%,6.65%
623,Tata Short Term Bond Direct Plan Growth,Low to Moderate Risk,Debt,3,3.52%,5.88%,5.59%
624,SBI Corporate Bond Fund Direct Growth,Moderate Risk,Debt,3,3.52%,5.87%,NA%
625,IDFC All Seasons Bond Fund Direct Growth,Moderate Risk,Other,3,3.31%,5.86%,6.90%
626,Nippon India Low Duration Fund Direct Growth,Moderate Risk,Debt,4,4.61%,5.86%,6.48%
627,Kotak Low Duration Fund Direct Growth,Moderate Risk,Debt,3,4.43%,5.85%,6.93%
628,Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme Direct Growth,Moderate Risk,Other,3,3.18%,5.85%,6.47%
629,IDFC Credit Risk Fund Direct Growth,Moderately High Risk,Debt,3,3.84%,5.84%,6.63%
630,HSBC Gilt Fund Direct Growth,Moderate Risk,Debt,3,2.56%,5.81%,6.67%
631,Aditya Birla Sun Life Floating Rate Direct Fund Growth,Low to Moderate Risk,Debt,5,4.70%,5.80%,6.79%
632,DSP Banking & PSU Debt Fund Direct Growth,Low to Moderate Risk,Debt,3,3.24%,5.79%,6.81%
633,PGIM India Dynamic Bond Direct Plan Growth,Low to Moderate Risk,Debt,3,3.44%,5.77%,7.05%
634,Franklin India Corporate Debt Fund Direct Growth,Low to Moderate Risk,Debt,3,3.53%,5.77%,7.05%
635,PGIM India Gilt Direct Plan Growth,Low to Moderate Risk,Debt,3,2.71%,5.77%,6.61%
636,SBI Short Term Debt Fund Direct Growth,Low to Moderate Risk,Debt,3,3.74%,5.76%,6.76%
637,IDBI Credit Risk Fund Direct Growth,Moderately High Risk,Debt,2,3.89%,5.75%,3.71%
638,UTI Ultra Short Term Fund Direct Growth,Moderate Risk,Debt,5,4.52%,5.74%,5.71%
639,Axis Banking & PSU Debt Direct Plan Growth,Low to Moderate Risk,Debt,5,3.97%,5.74%,7.24%
640,Baroda BNP Paribas Dynamic Bond Plan Direct Growth,Moderate Risk,Debt,3,4.10%,5.73%,5.92%
641,HSBC Asia Pacific (Ex Japan) Dividend Yield Fund Direct Growth,Very High Risk,Other,,-5.30%,5.73%,6.66%
642,Invesco India Corporate Bond Fund Direct Growth,Low to Moderate Risk,Debt,3,2.99%,5.71%,6.42%
643,Mirae Asset Short Term Fund Direct Growth,Low to Moderate Risk,Debt,3,3.75%,5.71%,NA%
644,ICICI Prudential Savings Fund Direct Plan Growth,Low to Moderate Risk,Debt,2,4.24%,5.70%,6.65%
645,Baroda BNP Paribas Short Duration Direct Fund Growth,Moderate Risk,Debt,3,3.52%,5.70%,6.71%
646,IDFC Bond Fund Short Term Plan Direct Growth,Moderate Risk,Debt,2,3.15%,5.68%,6.82%
647,DSP Bond Direct Growth,Moderate Risk,Debt,3,3.12%,5.65%,4.89%
648,Canara Robeco Corporate Bond Fund Direct Growth,Low to Moderate Risk,Debt,3,3.31%,5.65%,6.55%
649,Nippon India Dynamic Bond Fund Direct Growth,Moderate Risk,Debt,1,1.83%,5.65%,6.15%
650,Invesco India Short Term Fund Direct Growth,Low to Moderate Risk,Debt,2,3.20%,5.61%,6.62%
651,DSP Short Term Direct Plan Growth,Low to Moderate Risk,Debt,3,3.44%,5.60%,6.61%
652,Edelweiss ASEAN Equity Off Shore Fund Direct Growth,Very High Risk,Other,,4.35%,5.60%,5.53%
653,SBI Banking and PSU Fund Direct Growth,Low to Moderate Risk,Debt,2,2.95%,5.60%,7.02%
654,ICICI Prudential Ultra Short Term Fund Direct Growth,Moderate Risk,Debt,4,4.84%,5.59%,6.72%
655,Mirae Asset Dynamic Bond Fund Direct Growth,Moderate Risk,Debt,2,2.11%,5.58%,6.90%
656,Sundaram Low Duration Fund Direct Growth,Low to Moderate Risk,Debt,3,12.58%,5.57%,6.32%
657,Baroda BNP Paribas Low Duration Fund Direct Growth,Moderate Risk,Debt,3,4.26%,5.57%,6.47%
658,Canara Robeco Income Direct Growth,Moderate Risk,Debt,3,2.44%,5.57%,6.74%
659,Franklin India Banking & PSU Debt Fund Direct Growth,Moderate Risk,Debt,3,3.42%,5.56%,7.03%
660,Quant Dynamic Bond Fund Direct Growth,Low Risk,Debt,3,4.44%,5.55%,5.40%
661,Invesco India Credit Risk Fund Direct Growth,Moderate Risk,Debt,3,3.30%,5.53%,3.47%
662,HSBC Credit Risk Fund Direct Growth,Moderate Risk,Debt,2,3.69%,5.53%,5.05%
663,LIC MF Govt. Securities Fund Direct Growth,Moderate Risk,Debt,3,2.56%,5.53%,7.19%
664,HSBC Credit Risk Fund Direct Growth,Moderate Risk,Debt,3,3.79%,5.52%,5.07%
665,IDFC Government Securities Fund Constant Maturity Direct Growth,Moderate Risk,Debt,,0.76%,5.51%,8.23%
666,HSBC Short Duration Fund Direct Growth,Low to Moderate Risk,Debt,2,2.99%,5.49%,6.64%
667,HSBC Short Durationd Fund Direct Growth,Low to Moderate Risk,Debt,2,2.89%,5.48%,6.63%
668,JM Dynamic Bond Fund Direct Growth,Low to Moderate Risk,Debt,4,4.33%,5.48%,6.26%
669,SBI Magnum Constant Maturity Fund Direct Growth,Moderate Risk,Debt,,1.34%,5.47%,7.68%
670,UTI Floater Fund Direct Growth,Low to Moderate Risk,Debt,3,3.91%,5.46%,NA%
671,Union Corporate Bond Fund Direct Growth,Moderate Risk,Debt,2,2.46%,5.45%,NA%
672,Canara Robeco Gilt Fund Direct Growth,Low to Moderate Risk,Debt,3,2.93%,5.44%,6.26%
673,Canara Robeco Short Duration Fund Direct Growth,Low to Moderate Risk,Debt,3,3.28%,5.42%,6.36%
674,Axis Treasury Advantage Direct Fund Growth,Moderate Risk,Debt,4,4.48%,5.41%,6.64%
675,HSBC Dynamic Bond Fund Direct Growth,Low to Moderate Risk,Debt,3,3.19%,5.41%,6.61%
676,IDFC Bond Fund Medium Term Plan Direct Growth,Moderate Risk,Debt,2,1.89%,5.39%,6.53%
677,Canara Robeco Dynamic Bond Fund Direct Growth,Low to Moderate Risk,Debt,3,3.60%,5.37%,5.96%
678,HSBC Low Duration Fund Direct Growth,Low to Moderate Risk,Debt,3,4.34%,5.37%,5.71%
679,HSBC Low Duration Fund Direct Growth,Low to Moderate Risk,Debt,3,4.41%,5.36%,5.72%
680,HSBC Dynamic Bond Fund Direct Growth,Low to Moderate Risk,Debt,3,2.95%,5.35%,6.55%
681,LIC MF Savings Fund Direct Growth,Low to Moderate Risk,Debt,3,4.20%,5.35%,5.57%
682,Aditya Birla Sun Life Savings Direct Growth,Moderate Risk,Debt,4,4.70%,5.34%,6.43%
683,UTI Gilt Fund Direct Growth,Low to Moderate Risk,Debt,3,2.73%,5.31%,6.66%
684,Aditya Birla Sun Life Retirement Fund The 50s Plan Direct Growth,Moderately High Risk,Solution Oriented,2,3.27%,5.29%,NA%
685,PGIM India Short Duration Fund Direct Growth,Low to Moderate Risk,Debt,2,3.76%,5.28%,4.53%
686,Kotak Credit Risk Fund Direct Growth,Moderately High Risk,Debt,2,1.54%,5.26%,6.51%
687,HSBC Banking and PSU Debt Fund Direct Growth,Moderate Risk,Debt,2,1.69%,5.24%,6.44%
688,Tata Treasury Advantage Direct Plan Growth,Low to Moderate Risk,Debt,3,4.17%,5.23%,5.14%
689,HSBC Banking and PSU Debt Fund Direct Growth,Moderate Risk,Debt,2,1.78%,5.22%,6.46%
690,HDFC Gilt Fund Direct Plan Growth,Moderate Risk,Debt,2,1.66%,5.21%,5.91%
691,Mahindra Manulife Low Duration Fund Direct Growth,Moderate Risk,Debt,3,4.31%,5.20%,6.37%
692,HDFC Income Direct Plan Growth,Moderate Risk,Debt,3,2.32%,5.19%,5.54%
693,IDFC Bond Fund Income Plan Direct Growth,Moderate Risk,Debt,2,1.24%,5.18%,6.46%
694,LIC MF Banking & PSU Debt Fund Direct Growth,Low to Moderate Risk,Debt,3,3.50%,5.18%,6.80%
695,Tata Money Market Fund Direct Growth,Moderate Risk,Debt,5,4.79%,5.16%,4.75%
696,LIC MF Short Term Debt Fund Direct Growth,Low to Moderate Risk,Debt,2,2.85%,5.16%,NA%
697,Aditya Birla Sun Life Money Manager Fund Direct Growth,Moderate Risk,Debt,4,4.70%,5.16%,6.36%
698,SBI Magnum Low Duration Fund Direct Plan Growth,Moderate Risk,Debt,3,4.32%,5.14%,6.34%
699,Invesco India Treasury Advantage Fund Direct Growth,Low to Moderate Risk,Debt,3,4.10%,5.12%,6.37%
700,HDFC Money Market Fund Direct Plan Growth,Moderate Risk,Debt,4,4.65%,5.12%,6.27%
701,DSP Corporate Bond Fund Direct Growth,Moderate Risk,Debt,2,2.25%,5.10%,NA%
702,Baroda BNP Paribas Gilt Direct Growth,Low to Moderate Risk,Debt,2,1.79%,5.09%,6.21%
703,HDFC Ultra Short Term Fund Direct Growth,Moderate Risk,Debt,4,4.54%,5.08%,NA%
704,Axis Ultra Short Term Fund Direct Growth,Moderate Risk,Debt,4,4.82%,5.07%,NA%
705,Axis Money Market Fund Direct Growth,Moderate Risk,Debt,4,4.67%,5.01%,NA%
706,Mirae Asset Savings Fund Direct Plan Growth,Low to Moderate Risk,Debt,2,4.36%,5.00%,5.83%
707,Franklin India Multi Asset Solution Fund Direct Growth,Moderately High Risk,Other,1,6.12%,4.99%,5.25%
708,Tata Gilt Securities Fund Direct Growth,Low to Moderate Risk,Debt,2,2.85%,4.98%,6.01%
709,ICICI Prudential Long Term Bond Fund Direct Plan Growth,Moderate Risk,Debt,,1.28%,4.98%,6.77%
710,DSP World Agriculture Direct Plan Growth,Very High Risk,Other,,-11.20%,4.98%,4.53%
711,IDFC Low Duration Fund Direct Growth,Low to Moderate Risk,Debt,2,4.03%,4.98%,6.17%
712,DSP Low Duration Fund Direct Growth,Low to Moderate Risk,Debt,3,4.24%,4.98%,6.29%
713,Indiabulls Dynamic Bond Fund Direct Growth,Low to Moderate Risk,Debt,3,3.00%,4.97%,NA%
714,Nippon India Money Market Fund Direct Growth,Moderate Risk,Debt,5,4.84%,4.96%,6.23%
715,Indiabulls Short Term Fund Direct Growth,Low to Moderate Risk,Debt,1,3.10%,4.96%,5.84%
716,ICICI Prudential Money Market Direct Growth,Moderate Risk,Debt,3,4.58%,4.94%,6.14%
717,SBI Savings Fund Direct Growth,Moderate Risk,Debt,3,4.58%,4.93%,6.16%
718,Tata Arbitrage Fund Direct Growth,Low Risk,Hybrid,5,4.37%,4.93%,NA%
719,Mahindra Manulife Ultra Short Term Fund Direct Growth,Moderately Low Risk,Debt,3,4.57%,4.93%,NA%
720,UTI Money Market Fund Direct Growth,Moderate Risk,Debt,4,4.72%,4.93%,6.18%
721,JM Medium to Long Duration Fund Direct Growth,Moderate Risk,Debt,1,1.19%,4.91%,2.78%
722,Kotak Savings Fund Direct Growth,Low to Moderate Risk,Debt,3,4.66%,4.89%,6.13%
723,PGIM India Ultra Short Duration Direct Growth,Low to Moderate Risk,Debt,3,4.66%,4.88%,7.26%
724,Quant Liquid Direct Plan Growth,Moderate Risk,Debt,5,4.85%,4.86%,5.88%
725,Edelweiss Money Market Fund Direct Growth,Low to Moderate Risk,Debt,2,3.99%,4.86%,6.71%
726,Edelweiss Arbitrage Fund Direct Growth,Low Risk,Hybrid,5,4.62%,4.85%,5.65%
727,Invesco India Banking & PSU Debt Fund Direct Growth,Low to Moderate Risk,Debt,1,0.70%,4.84%,6.42%
728,Baroda BNP Paribas Corporate Bond Fund Direct Growth,Moderate Risk,Debt,2,1.47%,4.84%,4.33%
729,IDBI Ultra Short Term Fund Direct Growth,Low to Moderate Risk,Debt,3,4.55%,4.83%,5.87%
730,Invesco India Arbitrage Fund Direct Growth,Low Risk,Hybrid,5,5.37%,4.83%,5.52%
731,HSBC Global Emerging Markets Direct Plan Growth,Very High Risk,Other,,-14.02%,4.83%,4.29%
732,LIC MF Bond Fund Direct Growth,Moderate Risk,Debt,2,3.23%,4.82%,5.89%
733,Taurus Liquid Fund Super Institutional Direct Growth,Low Risk,Debt,1,3.24%,4.81%,4.59%
734,Franklin India Government Securities Fund Direct Plan Growth,Moderate Risk,Debt,2,3.03%,4.81%,5.36%
735,Sundaram Money Direct Growth,Low to Moderate Risk,Debt,3,3.38%,4.79%,5.71%
736,Tata Ultra Short Term Fund Direct Growth,Low to Moderate Risk,Debt,4,4.70%,4.78%,NA%
737,Principal Retirement Savings Fund Progressive Plan Direct Growth,Moderately High Risk,Solution Oriented,,14.20%,4.77%,9.65%
738,Franklin India Savings Fund Direct Growth,Low to Moderate Risk,Debt,3,4.31%,4.77%,6.11%
739,BOI AXA Ultra Short Duration Fund Direct Bonus,Low to Moderate Risk,Debt,2,3.20%,4.77%,5.97%
740,Kotak Money Market Fund Direct Growth,Low to Moderate Risk,Debt,3,4.69%,4.76%,6.04%
741,Kotak Equity Arbitrage Fund Direct Growth,Low Risk,Hybrid,4,4.63%,4.73%,5.51%
742,IDBI Gilt Fund Direct Growth,Moderate Risk,Debt,1,2.35%,4.73%,5.11%
743,Canara Robeco Savings Fund Direct Growth,Low to Moderate Risk,Debt,2,4.10%,4.72%,5.92%
744,Nippon India Arbitrage Fund Direct Growth,Low Risk,Hybrid,4,4.50%,4.71%,5.67%
745,SBI Magnum Ultra Short Duration Fund Direct Growth,Moderate Risk,Debt,3,4.37%,4.70%,6.06%
746,Baroda BNP Paribas Ultra Short Duration Fund Direct Growth,Low to Moderate Risk,Debt,3,4.82%,4.69%,NA%
747,Invesco India Money Market Fund Direct Growth,Low to Moderate Risk,Debt,2,3.98%,4.68%,5.84%
748,Invesco India Ultra Short Term Fund Direct Growth,Low to Moderate Risk,Debt,3,4.51%,4.68%,5.99%
749,Axis Arbitrage Fund Direct Growth,Low Risk,Hybrid,4,4.56%,4.66%,5.54%
750,IDFC Money Manager Fund Direct Growth,Low to Moderate Risk,Debt,3,4.47%,4.66%,5.62%
751,HSBC Arbitrage Fund Direct Growth,Low Risk,Hybrid,4,4.14%,4.65%,5.42%
752,HSBC Arbitrage Fund Direct Growth,Low Risk,Hybrid,4,4.01%,4.62%,5.44%
753,L&T Ultra Short Term Fund Direct Growth,Low to Moderate Risk,Debt,3,4.39%,4.61%,5.87%
754,HSBC Medium to Long Duration Fund Direct Growth,Moderate Risk,Debt,2,1.12%,4.59%,5.93%
755,DSP Savings Direct Plan Growth,Moderate Risk,Debt,2,3.95%,4.59%,5.89%
756,Sundaram Banking & PSU Debt Fund Direct Growth,Low to Moderate Risk,Debt,2,2.87%,4.58%,5.91%
757,Baroda BNP Paribas Medium Duration Fund Direct Growth,Moderate Risk,Debt,2,2.80%,4.58%,3.34%
758,DSP Ultra Short Fund Direct Plan Growth,Low to Moderate Risk,Debt,3,4.55%,4.56%,5.51%
759,IDFC Ultra Short Term Fund Direct Growth,Low to Moderate Risk,Debt,2,4.31%,4.56%,NA%
760,Aditya Birla Sun Life Arbitrage Fund Direct Growth,Low Risk,Hybrid,3,4.30%,4.56%,5.42%
761,ICICI Prudential Equity Arbitrage Direct Growth,Low Risk,Hybrid,3,4.30%,4.55%,5.40%
762,Baroda BNP Paribas Arbitrage Fund Direct Growth,Low Risk,Hybrid,3,3.98%,4.54%,5.40%
763,UTI Arbitrage Fund Direct Growth,Low Risk,Hybrid,3,4.16%,4.54%,5.39%
764,HSBC Money Market Fund Direct Growth,Low to Moderate Risk,Debt,1,4.21%,4.52%,6.04%
765,HSBC Money Market Fund Direct Growth,Low to Moderate Risk,Debt,2,4.28%,4.52%,6.04%
766,Union Dynamic Bond Fund Direct Growth,Moderate Risk,Debt,1,0.15%,4.51%,5.53%
767,HSBC Short Duration(Ex) Fund Direct Growth,Low to Moderate Risk,Debt,1,3.01%,4.51%,4.06%
768,HSBC Flexi Debt Fund Direct Growth,Low to Moderate Risk,Debt,2,1.50%,4.50%,5.80%
769,Invesco India Gilt Fund Direct Growth,Moderate Risk,Debt,1,2.97%,4.49%,5.84%
770,IDFC Arbitrage Fund Direct Growth,Low Risk,Hybrid,3,4.33%,4.43%,5.42%
771,DSP 10Y G Sec Fund Direct Growth,Moderate Risk,Debt,,0.21%,4.43%,5.81%
772,Sundaram Money Market Fund Direct Growth,Low Risk,Debt,2,4.48%,4.41%,NA%
773,Aditya Birla Sun Life Retirement Fund The 50s Plus Debt Plan Direct Growth,Moderate Risk,Solution Oriented,1,2.14%,4.41%,NA%
774,WhiteOak Capital Ultra Short Term Fund Direct Growth,Moderately Low Risk,Debt,2,4.31%,4.35%,NA%
775,Union Arbitrage Fund Direct Growth,Low Risk,Hybrid,3,3.82%,4.34%,NA%
776,PGIM India Arbitrage Fund Direct Growth,Low Risk,Hybrid,2,4.06%,4.33%,5.09%
777,DSP Arbitrage Fund Direct Growth,Low Risk,Hybrid,3,4.17%,4.32%,NA%
778,SBI Arbitrage Opportunities Fund Direct Growth,Low Risk,Hybrid,2,4.52%,4.32%,5.28%
779,Bank of India Ultra Short Duration Fund Direct Growth,Low to Moderate Risk,Debt,2,4.30%,4.31%,5.70%
780,IDBI Liquid Fund Direct Growth,Low to Moderate Risk,Debt,4,4.67%,4.26%,5.43%
